1|MID|34|43|31|31|46
1|END|46|41|40|44|24
2|MID|20|34|37|38|23
2|END|21|27|48|33|30
3|MID|30|35|46|25|39
3|END|36|40|39|32|42
4|MID|33|50|43|42|20
4|END|33|22|33|25|20
5|MID|24|50|26|47|36
5|END|22|26|36|24|46
6|MID|26|34|48|25|22
6|END|31|25|40|29|24
7|MID|46|21|48|49|49
7|END|46|24|41|41|29
8|MID|25|49|25|39|27
8|END|26|45|35|45|41
9|MID|44|49|49|34|42
9|END|44|45|39|36|38
10|MID|47|48|35|28|25
10|END|25|30|49|44|24
11|MID|45|46|46|47|26
11|END|30|29|33|30|46
12|MID|31|45|34|44|35
12|END|43|31|34|25|31
13|MID|33|42|20|22|47
13|END|34|42|23|25|48
14|MID|22|35|30|41|45
14|END|50|25|28|50|33
15|MID|35|37|44|32|27
15|END|27|38|30|27|47
16|MID|20|20|29|24|47
16|END|22|49|31|35|41
17|MID|32|35|45|33|48
17|END|26|46|27|25|31
18|MID|45|28|33|44|48
18|END|44|24|24|32|41
19|MID|33|40|44|24|30
19|END|43|36|28|20|36
20|MID|44|45|46|36|44
20|END|21|44|45|41|32
