1|MID|24|21|15|36|20|18|43|11|12|24|16|16|37|21|15
1|END|26|18|18|43|24|18|27|21|18|15|18|16|33|20|17
2|MID|24|22|10|37|17|25|36|19|25|41|19|13|30|13|12
2|END|37|14|25|15|18|15|20|12|24|26|17|24|23|21|17
3|MID|22|20|12|36|19|17|18|14|24|33|14|22|42|20|25
3|END|34|20|13|27|10|20|42|19|17|22|24|12|44|25|12
4|MID|36|14|25|15|21|16|38|25|22|20|23|23|36|19|21
4|END|41|13|24|32|25|19|21|21|21|27|13|17|24|21|24
5|MID|45|21|12|26|23|13|37|24|11|37|11|24|27|18|22
5|END|27|13|13|28|14|24|17|19|22|26|13|23|40|12|24
6|MID|42|22|20|19|22|17|25|19|16|31|25|19|38|24|10
6|END|26|11|12|33|23|24|28|17|23|24|11|18|31|11|10
7|MID|42|15|13|24|22|23|37|23|23|29|12|10|19|12|23
7|END|37|19|15|25|21|13|22|14|16|33|22|13|39|18|17
8|MID|40|25|23|28|20|11|44|10|14|34|23|10|38|18|19
8|END|41|14|11|30|19|18|32|25|16|31|13|18|28|18|22
9|MID|29|20|13|37|13|20|15|24|17|35|10|17|31|13|25
9|END|45|13|14|26|20|18|39|20|21|40|17|23|18|13|18
10|MID|38|19|22|23|18|13|42|24|17|17|17|13|28|24|22
10|END|24|10|24|20|15|20|38|22|25|26|11|10|41|16|17
11|MID|44|25|18|40|19|19|43|16|10|20|25|22|22|10|12
11|END|36|22|21|42|13|23|22|13|11|32|25|25|29|25|22
12|MID|25|13|20|45|13|19|25|13|14|34|22|16|27|14|17
12|END|39|20|11|25|14|15|21|17|17|36|22|25|31|10|23
13|MID|40|17|24|15|21|18|34|23|24|25|11|18|37|17|20
13|END|19|19|21|15|24|14|20|17|12|29|24|19|22|22|22
14|MID|43|18|22|32|17|16|27|14|12|42|24|12|33|11|15
14|END|35|19|10|25|12|20|18|19|10|27|12|19|22|23|25
15|MID|21|24|23|25|13|10|18|12|14|28|22|25|18|16|23
15|END|27|19|23|27|17|18|23|15|11|20|21|25|34|17|14
16|MID|24|12|12|36|14|22|30|23|20|36|25|22|39|14|17
16|END|44|14|18|38|20|12|35|11|18|40|10|14|41|15|14
17|MID|25|12|14|24|17|21|40|19|19|24|23|25|36|24|12
17|END|23|15|24|45|18|13|17|13|24|45|21|21|43|14|12
18|MID|45|25|20|24|24|19|42|20|16|19|23|13|31|24|18
18|END|38|11|21|41|25|13|34|25|19|32|10|11|25|10|12
19|MID|31|20|13|33|25|14|33|22|16|27|16|23|15|13|21
19|END|23|10|23|37|12|24|28|18|14|28|21|11|28|18|17
20|MID|30|24|16|19|14|23|45|12|17|23|17|22|25|13|17
20|END|23|22|17|24|19|21|44|20|19|15|18|12|25|23|10
