1|MID|20|28|29|39|49
1|END|43|28|44|31|36
2|MID|43|31|48|32|42
2|END|38|48|42|36|44
3|MID|45|40|38|39|44
3|END|34|24|40|27|25
4|MID|27|44|32|47|48
4|END|29|49|37|35|38
5|MID|43|37|25|50|41
5|END|20|39|35|38|44
6|MID|28|24|50|25|44
6|END|35|26|39|30|26
7|MID|40|43|26|30|47
7|END|36|28|50|34|49
8|MID|35|44|50|23|36
8|END|27|42|43|43|23
9|MID|43|37|43|41|49
9|END|39|32|27|27|25
10|MID|41|26|37|23|34
10|END|47|30|32|44|44
11|MID|25|27|39|49|31
11|END|35|50|36|22|42
12|MID|23|38|29|42|31
12|END|44|22|44|25|28
13|MID|49|47|28|50|40
13|END|31|50|28|47|39
14|MID|33|41|24|41|29
14|END|50|50|29|48|20
15|MID|23|38|41|46|47
15|END|42|24|48|21|46
16|MID|41|50|23|42|28
16|END|46|24|50|41|41
17|MID|31|48|41|40|37
17|END|39|45|40|43|49
18|MID|23|36|28|27|27
18|END|32|37|47|33|24
19|MID|29|25|23|39|39
19|END|31|47|26|33|43
20|MID|41|49|30|41|36
20|END|35|40|38|21|35
