1|MID|28|31|49|47|45
1|END|40|30|24|43|38
2|MID|23|20|32|29|47
2|END|29|24|47|30|28
3|MID|35|39|48|45|31
3|END|43|37|37|35|39
4|MID|48|26|38|28|23
4|END|24|49|31|39|37
5|MID|27|21|37|22|34
5|END|41|29|27|45|40
6|MID|49|30|40|44|39
6|END|41|49|21|27|43
7|MID|41|42|36|22|31
7|END|43|47|36|38|47
8|MID|45|31|30|46|42
8|END|33|23|36|49|29
9|MID|30|22|41|21|27
9|END|35|23|35|41|24
10|MID|34|35|43|34|50
10|END|44|23|41|42|38
11|MID|35|41|47|37|50
11|END|34|20|35|46|50
12|MID|28|42|34|44|22
12|END|44|36|20|49|20
13|MID|40|49|49|24|50
13|END|21|40|49|49|38
14|MID|29|25|34|45|29
14|END|23|42|29|41|31
15|MID|20|39|32|24|47
15|END|43|43|44|41|41
16|MID|32|30|34|27|20
16|END|20|36|34|38|45
17|MID|30|50|46|43|38
17|END|23|28|43|39|45
18|MID|28|28|49|20|41
18|END|29|32|50|42|23
19|MID|32|24|24|39|34
19|END|26|37|44|21|44
20|MID|38|50|43|49|34
20|END|50|41|46|20|22
