1|MID|31|40|25|39|33
1|END|43|21|30|37|33
2|MID|29|44|24|43|33
2|END|44|35|25|38|43
3|MID|32|23|24|32|36
3|END|34|45|41|40|50
4|MID|30|33|46|23|33
4|END|31|46|29|40|28
5|MID|25|46|23|23|38
5|END|34|39|29|33|34
6|MID|34|40|49|50|44
6|END|20|45|33|28|44
7|MID|34|33|24|48|39
7|END|32|50|22|44|40
8|MID|36|47|29|46|29
8|END|37|32|36|30|50
9|MID|29|37|35|41|40
9|END|33|39|20|39|22
10|MID|30|28|23|41|41
10|END|33|21|24|27|35
11|MID|31|41|49|47|44
11|END|24|24|48|32|42
12|MID|28|44|28|24|24
12|END|30|47|34|46|46
13|MID|40|32|43|42|42
13|END|46|49|43|40|38
14|MID|37|46|21|23|45
14|END|33|26|21|28|50
15|MID|32|50|30|21|37
15|END|29|35|37|42|21
16|MID|46|31|37|26|35
16|END|40|27|24|27|24
17|MID|40|42|47|35|48
17|END|37|38|25|36|34
18|MID|40|36|31|40|22
18|END|41|43|30|25|39
19|MID|26|33|40|49|24
19|END|39|34|37|41|44
20|MID|44|29|47|20|39
20|END|27|22|24|35|40
