1|MID|45|50|24|33|36
1|END|41|50|48|22|31
2|MID|35|41|25|39|48
2|END|26|42|29|22|37
3|MID|45|38|21|21|35
3|END|20|39|38|49|34
4|MID|49|23|41|22|26
4|END|50|40|23|30|40
5|MID|28|33|42|36|22
5|END|37|37|28|38|26
6|MID|45|49|38|35|34
6|END|40|50|23|35|35
7|MID|30|47|45|48|29
7|END|49|47|45|21|37
8|MID|46|38|20|38|26
8|END|34|41|31|38|30
9|MID|22|20|46|23|42
9|END|36|49|33|49|38
10|MID|31|26|50|27|28
10|END|40|42|43|23|28
11|MID|46|46|32|25|35
11|END|31|22|21|42|28
12|MID|44|50|40|49|49
12|END|21|26|43|49|22
13|MID|36|47|39|32|42
13|END|24|42|22|29|29
14|MID|29|44|42|24|43
14|END|36|28|47|46|39
15|MID|32|45|20|31|22
15|END|47|26|44|29|28
16|MID|40|20|26|43|34
16|END|40|45|44|46|50
17|MID|42|30|44|37|32
17|END|49|45|43|47|24
18|MID|29|25|46|30|38
18|END|22|35|28|37|22
19|MID|44|28|27|22|25
19|END|36|45|35|47|27
20|MID|47|41|28|44|29
20|END|40|44|37|32|35
