1|MID|18|24|23|18|16|22|40|13|24|41|23|18|32|14|19
1|END|41|18|16|17|20|24|42|21|13|43|12|18|21|20|17
2|MID|21|21|16|42|21|19|33|18|14|24|24|25|24|11|17
2|END|35|14|12|45|12|16|23|22|17|31|14|18|22|21|18
3|MID|34|20|19|27|20|21|24|17|23|45|16|18|16|10|20
3|END|15|22|16|45|19|20|24|14|22|18|25|17|24|17|10
4|MID|22|22|22|27|12|10|27|16|16|29|24|13|19|22|17
4|END|35|17|14|41|20|15|27|14|18|26|23|12|39|25|19
5|MID|30|13|15|34|22|12|17|19|24|39|20|21|40|13|25
5|END|35|19|12|31|23|14|16|21|18|33|14|22|41|22|20
6|MID|22|10|13|18|24|12|21|19|24|16|23|21|31|10|23
6|END|26|14|23|31|14|10|30|22|16|29|25|25|31|10|13
7|MID|43|15|18|24|23|19|35|19|11|33|18|18|15|17|20
7|END|18|25|15|23|13|21|39|12|21|18|20|12|25|15|23
8|MID|38|24|23|38|17|18|37|21|24|27|19|16|44|13|15
8|END|27|11|14|43|14|19|40|13|13|39|14|15|27|25|19
9|MID|26|23|16|39|14|16|16|11|24|30|12|21|23|19|13
9|END|23|22|24|21|12|24|27|21|13|29|14|22|39|18|11
10|MID|17|12|23|31|25|23|20|13|14|22|24|24|36|21|15
10|END|39|24|12|15|23|15|23|16|20|31|10|13|18|21|18
11|MID|36|21|21|45|14|16|22|22|12|18|13|19|20|21|18
11|END|39|11|22|29|16|10|15|13|25|25|14|16|42|22|12
12|MID|34|21|11|17|15|23|16|19|19|20|23|19|22|16|16
12|END|39|18|24|41|21|22|31|16|19|30|17|24|40|19|10
13|MID|32|15|14|36|17|24|42|21|18|27|17|10|45|22|18
13|END|41|18|10|31|10|22|31|16|14|45|24|25|22|23|20
14|MID|22|18|22|25|25|15|23|25|12|19|14|20|15|21|22
14|END|45|12|22|32|12|16|35|13|14|44|12|22|18|14|24
15|MID|20|11|14|32|22|22|24|19|17|42|12|21|39|16|18
15|END|43|14|22|16|10|15|21|10|11|35|17|24|32|18|23
16|MID|18|19|23|43|15|15|29|13|23|30|11|14|20|15|20
16|END|16|12|10|22|10|19|22|25|10|37|14|22|16|13|17
17|MID|36|10|15|25|20|17|32|19|14|34|16|21|17|16|25
17|END|29|24|18|19|15|12|40|16|21|27|22|15|34|17|19
18|MID|44|25|10|41|14|22|16|18|25|36|17|10|34|17|20
18|END|19|25|23|22|14|14|36|24|20|26|11|12|28|20|12
19|MID|41|12|25|37|23|16|15|22|24|24|11|10|38|11|16
19|END|37|19|14|30|23|19|27|11|10|15|14|13|18|16|24
20|MID|23|22|16|33|23|24|19|19|24|33|10|16|34|24|20
20|END|25|11|14|30|15|19|23|12|12|16|12|24|43|17|17
