1|MID|33|22|17|17|14|12|42|17|17|24|19|21|45|17|12
1|END|19|25|17|32|22|15|35|20|14|21|23|14|41|15|17
2|MID|16|14|19|38|15|19|28|22|17|26|21|16|31|11|14
2|END|20|20|10|32|12|20|28|18|20|37|11|22|30|14|19
3|MID|21|20|13|43|17|17|24|12|14|41|13|18|20|11|17
3|END|19|16|17|17|13|23|31|14|20|33|13|16|31|22|15
4|MID|29|22|13|37|24|12|17|12|11|24|11|24|42|19|18
4|END|28|14|22|24|23|24|40|18|15|35|11|18|31|18|12
5|MID|16|23|12|18|18|24|29|18|10|19|20|11|18|22|13
5|END|18|22|11|23|23|15|17|15|21|31|11|23|16|15|21
6|MID|45|11|21|23|25|19|33|14|21|23|11|16|40|10|19
6|END|38|14|16|36|19|15|45|13|17|17|22|25|18|16|11
7|MID|16|16|22|22|24|14|31|13|21|27|12|12|41|20|22
7|END|35|24|20|26|25|15|28|15|17|36|22|10|23|15|11
8|MID|28|10|11|15|23|17|40|22|20|35|11|17|19|17|15
8|END|35|24|17|29|16|23|22|14|20|30|13|19|36|24|16
9|MID|36|10|22|15|24|14|30|25|20|42|25|18|27|19|17
9|END|45|24|13|21|22|24|42|15|13|34|17|16|33|12|14
10|MID|24|10|10|22|18|14|25|16|12|43|20|12|19|12|19
10|END|38|10|21|43|11|20|28|25|15|22|17|12|29|11|24
11|MID|28|23|23|23|21|18|19|15|23|28|18|22|27|23|20
11|END|16|20|25|25|23|23|21|25|22|43|11|18|35|24|21
12|MID|41|25|10|26|24|25|20|22|10|32|13|23|45|15|13
12|END|38|22|12|45|14|22|40|23|13|41|21|17|19|25|12
13|MID|22|21|12|35|14|18|28|24|11|32|15|25|30|11|18
13|END|34|21|22|45|11|20|34|10|16|22|12|25|20|24|14
14|MID|42|21|10|45|10|21|37|19|20|29|20|18|20|22|16
14|END|29|11|10|38|12|24|26|10|20|27|15|24|41|14|17
15|MID|23|19|20|38|20|20|36|17|17|27|11|21|41|14|21
15|END|20|15|10|19|10|12|15|16|21|20|16|19|41|16|23
16|MID|43|24|12|40|17|15|41|15|16|29|19|17|36|11|22
16|END|28|13|11|35|21|21|17|16|25|32|25|11|27|24|21
17|MID|45|22|14|35|16|13|29|25|23|23|15|13|20|21|16
17|END|45|25|25|24|21|24|22|20|14|25|19|21|17|21|10
18|MID|28|16|17|20|15|18|42|23|22|22|13|18|21|19|25
18|END|33|23|13|19|16|17|20|20|25|15|16|16|19|23|20
19|MID|43|13|21|21|13|20|37|16|15|23|10|23|15|11|12
19|END|44|19|18|27|25|21|19|20|19|25|21|17|38|19|14
20|MID|22|17|15|26|18|17|42|21|15|16|21|12|19|20|23
20|END|32|12|14|25|22|25|17|11|11|15|10|24|28|24|12
