1|MID|39|28|20|24|35
1|END|48|34|47|29|40
2|MID|46|28|50|48|32
2|END|23|22|49|36|23
3|MID|48|30|31|21|47
3|END|40|50|21|42|46
4|MID|20|24|25|43|46
4|END|36|25|31|31|22
5|MID|45|22|44|49|34
5|END|49|44|23|30|30
6|MID|30|36|48|24|33
6|END|34|34|21|28|24
7|MID|24|25|45|50|44
7|END|32|30|26|35|47
8|MID|50|48|34|31|28
8|END|42|46|35|50|23
9|MID|49|25|48|40|32
9|END|43|23|47|40|38
10|MID|41|23|35|41|43
10|END|29|37|49|41|50
11|MID|28|50|43|35|26
11|END|42|40|46|24|46
12|MID|43|37|41|37|21
12|END|40|38|21|42|27
13|MID|32|36|37|22|24
13|END|44|42|22|34|31
14|MID|21|25|24|49|36
14|END|25|42|44|34|40
15|MID|50|25|48|27|24
15|END|28|25|26|42|50
16|MID|37|45|21|31|21
16|END|36|27|32|20|24
17|MID|29|25|29|45|44
17|END|21|33|48|26|22
18|MID|39|28|23|47|48
18|END|38|29|35|26|27
19|MID|26|46|35|27|24
19|END|49|42|37|30|43
20|MID|40|43|23|30|26
20|END|26|34|46|45|36
